"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","7","0.0-0.0","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","","","","","","","","","","","",""
"","","","","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","blur","1","1580","blurevent","1","","","","","","","","","",""
"","","","","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","focus","1","2042","focusevent","","","","","","","","","","",""
"instructions","1","3365","0.0-1.0","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","","","[{""page_index"":0,""viewing_time"":3357}]","3357","","","","","","","",""
"","","","","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","fullscreenenter","2","5513","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","6477","0.0-2.0","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","","","","","true","","","","","","",""
"instructions","3","28731","0.0-4.0","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","","","[{""page_index"":0,""viewing_time"":1273},{""page_index"":1,""viewing_time"":765},{""page_index"":2,""viewing_time"":6410},{""page_index"":3,""viewing_time"":2872},{""page_index"":4,""viewing_time"":4393},{""page_index"":5,""viewing_time"":2064},{""page_index"":6,""viewing_time"":2703},{""page_index"":7,""viewing_time"":1773}]","22253","","","","","","","",""
"image-keyboard-response","4","51554","0.0-5.0-0.0-0.0","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","blurwarn","1","","22820","","","49","","","","",""
"html-slider-response","5","57741","0.0-5.0-1.0","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","decision","","","5932","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","50","complete strangers","3/4 or 75%","","50"
"html-slider-response","6","80907","0.0-5.0-1.1","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","decision","","","23162","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","31","your closest friends","1/3 or 33%","","50"
"html-slider-response","7","86315","0.0-5.0-1.2","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","decision","","","5404","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","25","your high school classmates","1/4 or 25%","","50"
"html-slider-response","8","90314","0.0-5.0-1.3","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","decision","","","3994","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","68","your acquaintances","2/3 or 67%","","50"
"html-slider-response","9","93132","0.0-5.0-1.4","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","decision","","","2814","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","50","other prolific workers","1/2 or 50%","","50"
"instructions","10","97961","0.0-6.0","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","","","[{""page_index"":0,""viewing_time"":4828}]","4828","","","","","","","",""
"html-slider-response","11","105015","0.0-7.0-1.0","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","simRating","","","7051","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","8","your acquaintances","","",""
"html-slider-response","12","111913","0.0-7.0-1.1","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","simRating","","","6894","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","2","complete strangers","","",""
"html-slider-response","13","115319","0.0-7.0-1.2","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","simRating","","","3403","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","8","your high school classmates","","",""
"html-slider-response","14","119130","0.0-7.0-1.3","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","simRating","","","3807","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","9","your closest friends","","",""
"html-slider-response","15","122770","0.0-7.0-1.4","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","simRating","","","3637","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","2","other prolific workers","","",""
"instructions","16","126655","0.0-8.0","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","","","[{""page_index"":0,""viewing_time"":3884}]","3884","","","","","","","",""
"html-slider-response","17","131811","0.0-9.0-1.0","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","abilRating","","","5154","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","8","your acquaintances","","",""
"html-slider-response","18","135655","0.0-9.0-1.1","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","abilRating","","","3842","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","3","other prolific workers","","",""
"html-slider-response","19","139609","0.0-9.0-1.2","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","abilRating","","","3950","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","8","your high school classmates","","",""
"html-slider-response","20","143684","0.0-9.0-1.3","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","abilRating","","","4073","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","2","complete strangers","","",""
"html-slider-response","21","149806","0.0-9.0-1.4","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","abilRating","","","6118","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","9","your closest friends","","",""
"","","","","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","fullscreenexit","22","149851","fullscreenexit","","","","","","","","","","",""
"fullscreen","22","150808","0.0-10.0","5c3161130cfe9a00012f71ff","bdp_bc","Thu Apr 06 2023 21:53:26 GMT-0400 (Eastern Daylight Time)","150810","","","","","","","","true","","","","","","",""
"html-keyboard-response","23","151311","0.0-11.0","","","","","","","","","","","null","","","null","","","","",""
