"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","2","0.0-0.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","","","","","","","","","","","","",""
"instructions","1","1918","0.0-1.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","[{""page_index"":0,""viewing_time"":1915}]","1916","","","","","","","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","fullscreenenter","2","4304","fullscreenenter","","","","","","","","",""
"fullscreen","2","5291","0.0-2.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","","","","","true","","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","blur","3","152656","blurevent","","1","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","focus","3","167508","focusevent","","","","","","","","",""
"instructions","3","397659","0.0-4.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","[{""page_index"":0,""viewing_time"":75620},{""page_index"":1,""viewing_time"":128512},{""page_index"":2,""viewing_time"":35976},{""page_index"":3,""viewing_time"":104798},{""page_index"":4,""viewing_time"":2970},{""page_index"":5,""viewing_time"":19499},{""page_index"":6,""viewing_time"":3020},{""page_index"":7,""viewing_time"":21973}]","392368","","","","","","","","","","","","",""
"image-keyboard-response","4","401235","0.0-5.0-0.0-0.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","3574","","","","blurwarn","","1","","49","","","","",""
"html-slider-response","5","429710","0.0-5.0-1.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","28222","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","16","other prolific workers","1/3 or 33%","","50"
"html-slider-response","6","479063","0.0-5.0-1.1","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","49352","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","20","your closest friends","1/4 or 25%","","50"
"html-slider-response","7","502973","0.0-5.0-1.2","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","23908","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","28","complete strangers","1/2 or 50%","","50"
"html-slider-response","8","530660","0.0-5.0-1.3","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","27686","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","14","your acquaintances","2/3 or 67%","","50"
"html-slider-response","9","547394","0.0-5.0-1.4","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","16732","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","49","your high school classmates","3/4 or 75%","","50"
"instructions","10","560213","0.0-6.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","[{""page_index"":0,""viewing_time"":12819}]","12819","","","","","","","","","","","","",""
"html-slider-response","11","570000","0.0-7.0-1.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","9787","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","7","other prolific workers","","",""
"html-slider-response","12","575713","0.0-7.0-1.1","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","5712","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","4","your acquaintances","","",""
"html-slider-response","13","608912","0.0-7.0-1.2","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","33198","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","2","complete strangers","","",""
"html-slider-response","14","612644","0.0-7.0-1.3","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","3730","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","5","your high school classmates","","",""
"html-slider-response","15","624111","0.0-7.0-1.4","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","11467","","","","simRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","your closest friends","","",""
"instructions","16","631908","0.0-8.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","[{""page_index"":0,""viewing_time"":7796}]","7796","","","","","","","","","","","","",""
"html-slider-response","17","647247","0.0-9.0-1.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","15338","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","3","your acquaintances","","",""
"html-slider-response","18","652566","0.0-9.0-1.1","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","5317","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","4","your high school classmates","","",""
"html-slider-response","19","674152","0.0-9.0-1.2","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","21585","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","7","your closest friends","","",""
"html-slider-response","20","680083","0.0-9.0-1.3","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","5931","","","","abilRating","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","other prolific workers","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","blur","21","708200","blurevent","","2","","","","","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","focus","21","709651","focusevent","","","","","","","","",""
"html-slider-response","21","733094","0.0-9.0-1.4","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","53010","blur","21","708200","abilRating","","2","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","3","complete strangers","","",""
"","","","","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","fullscreenexit","22","733114","fullscreenexit","","","","","","","","",""
"fullscreen","22","734096","0.0-10.0","63034df51d918e1e3b97e5ce","bdp_bc","Sun Mar 26 2023 18:45:00 GMT-0400 (Eastern Daylight Time)","734097","","","","","","","true","","","","","","","",""
"html-keyboard-response","23","734598","0.0-11.0","","","","","","null","","","","","","","","null","","","","",""
