"trial_type","trial_index","time_elapsed","internal_node_id","event","trial","time","trialtype","view_history","rt","success","numBlurs","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","trial_duration","targFace","targCol","targOutcome","corr"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","","","","","",""
"","","","","focus","1","4360","focusevent","","","","","","","","","","","","","","","",""
"instructions","1","4765","0.0-1.0","","","","","[{""page_index"":0,""viewing_time"":4760}]","4760","","","","","","","","","","","","","",""
"","","","","fullscreenenter","2","6059","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","7040","0.0-2.0","","","","","","","true","","","","","","","","","","","","",""
"","","","","blur","3","9839","blurevent","","","","1","","","","","","","","","","","",""
"","","","","focus","3","9922","focusevent","","","","","","","","","","","","","","","",""
"instructions","3","11425","0.0-4.0","","","","","[{""page_index"":0,""viewing_time"":704},{""page_index"":1,""viewing_time"":420},{""page_index"":2,""viewing_time"":2197},{""page_index"":3,""viewing_time"":348},{""page_index"":4,""viewing_time"":715}]","4384","","","","","","","","","","","","","",""
"html-keyboard-response","4","11929","0.0-5.0-1.0","","","","FIX","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","5","14934","0.0-5.0-2.0","","","","ARRAY","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","3","trustrating_stim/white_mw003.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw040.bmp","1,1,0","Match","e","3000","","","",""
"html-keyboard-response","6","18938","0.0-5.0-3.0","","","","DELAY","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","7","19581","0.0-5.0-4.0","","","","TARGET","","641","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","3","trustrating_stim/white_mw003.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw040.bmp","1,1,0","Match","e","","trustrating_stim/white_mw015.bmp","green","Share","1"
"html-keyboard-response","8","20083","0.0-5.0-5.0","","","","FEEDBACK","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","9","20588","0.0-5.0-1.1","","","","FIX","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","10","22090","0.0-5.0-2.1","","","","ARRAY","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_00050_931230_fa_edt.bmp","1","Match","e","1500","","","",""
"html-keyboard-response","11","26095","0.0-5.0-3.1","","","","DELAY","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","12","26848","0.0-5.0-4.1","","","","TARGET","","751","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","1","trustrating_stim/white_00050_931230_fa_edt.bmp","1","Match","e","","trustrating_stim/white_mw015.bmp","green","Share","0"
"html-keyboard-response","13","27349","0.0-5.0-5.1","","","","FEEDBACK","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","14","27850","0.0-5.0-1.2","","","","FIX","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","15","29351","0.0-5.0-2.2","","","","ARRAY","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_mw091.bmp","1","noMatchFace","i","1500","","","",""
"html-keyboard-response","16","33353","0.0-5.0-3.2","","","","DELAY","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","17","38109","0.0-5.0-4.2","","","","TARGET","","4755","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","1","trustrating_stim/white_mw091.bmp","1","noMatchFace","i","","trustrating_stim/white_mw015.bmp","green","Share","0"
"html-keyboard-response","18","38610","0.0-5.0-5.2","","","","FEEDBACK","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","19","39113","0.0-5.0-1.3","","","","FIX","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","20","42116","0.0-5.0-2.3","","","","ARRAY","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw070.bmp","0,1","Match","e","3000","","","",""
"html-keyboard-response","21","46120","0.0-5.0-3.3","","","","DELAY","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","22","46836","0.0-5.0-4.3","","","","TARGET","","715","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","2","trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw070.bmp","0,1","Match","e","","trustrating_stim/white_mw015.bmp","green","Share","0"
"html-keyboard-response","23","47337","0.0-5.0-5.3","","","","FEEDBACK","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","24","47842","0.0-5.0-1.4","","","","FIX","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","25","50847","0.0-5.0-2.4","","","","ARRAY","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw092.bmp","0,1,1","noMatchOutcome","i","3000","","","",""
"html-keyboard-response","26","54853","0.0-5.0-3.4","","","","DELAY","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","27","55797","0.0-5.0-4.4","","","","TARGET","","942","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw092.bmp","0,1,1","noMatchOutcome","i","","trustrating_stim/white_mw015.bmp","green","Share","0"
"html-keyboard-response","28","56298","0.0-5.0-5.4","","","","FEEDBACK","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","",""
"html-keyboard-response","29","56802","0.0-5.0-1.5","","","","FIX","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"html-keyboard-response","30","59805","0.0-5.0-2.5","","","","ARRAY","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw003.bmp","0,1","noMatchOutcome","i","3000","","","",""
"","","","","fullscreenexit","31","63258","fullscreenexit","","","","","","","","","","","","","","","",""
"","","","","blur","31","63260","blurevent","","","","2","","","","","","","","","","","",""
"html-keyboard-response","31","63809","0.0-5.0-3.5","blur","31","63260","DELAY","","null","","2","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","",""
"","","","","focus","32","87829","focusevent","","","","","","","","","","","","","","","",""
"","","","","blur","32","96660","blurevent","","","","3","","","","","","","","","","","",""
"","","","","focus","32","106280","focusevent","","","","","","","","","","","","","","","",""
"","","","","blur","32","110798","blurevent","","","","","","","","","","","","","","","",""
